F5,Type,Ns1:Description,Route1,Lat,Long
"Vallée de la Molignée, Anhée",tronçon, Haute-Meuse,N971,50.31039,4.87827
"rue Robert Tachenion, rue du Commerce, Dour",tronçon, Hauts-Pays,N553,50.39583,3.77792
"rue Jean Jaurès, Hensies",tronçon, Hauts-Pays,N51,50.4184325,3.7409431
"rue de Tramaka, Andenne",tronçon, ZP des Arches,N921,50.514433,5.0816368
"Rue de Spontin, Dinant",tronçon, Haute-Meuse,N948,50.2846388,4.948126
"rue de La Roche, rue de Hotton, Rendeux",tronçon, Famenne-Ardenne,N833,50.23423,5.50414
"rue de la Chapelle, rue d’Audregnies, Dour",tronçon, Hauts-Pays,N553,50.39583,3.77792
"rue de Huy, Ohey",tronçon, ZP des Arches,N698,50.4343122,5.1411332
"rue de Dour, rue de Boussu, Boussu",tronçon, Boraine,N549,50.43417,3.7944
"Grand'Route, Hotton",tronçon, Famenne-Ardenne,N86,50.2853326,5.432407
"chaussée de Belle-Vue, Hensies",tronçon, Hauts-Pays,N552,50.4418937,3.7290258
"chaussée Brunehaut, Beloeil",tronçon, Beloeil / Leuze-en-Ht,N527,50.5579607,3.690165
"avenue Reine Astrid, Namur",tronçon, Namur,N967,50.4642033,4.8495159
"avenue de la Vecquée, Namur",tronçon, Namur,N954,50.4269808,4.8138015
"avenue Cardinal Mercier, Namur",tronçon, Namur,N90,50.4650976,4.850525
", Walcourt",tronçon, Polfed,N5,50.2532022,4.4347509
", Genappe",tronçon, Nivelles-Genappe,N25,50.6108733,4.4510726
", Comines-Warneton",tronçon, Comines-Warneton,N58,50.7683055,3.0001175
"Voie de l’Ardenne, Chaudfontaine",Radar fixe, SECOVA,N30,50.5861316,5.612906
"rue Winston Churchill, Courcelles",Radar fixe, Les Trieux,N582,50.4615468,4.399843
"rue Vandervelde, Pont-à-Celles",Radar fixe, BRUNAU,N586,50.4826061,4.4298936
"rue Ste Monégonde, Chimay",Radar fixe, Botte du Hainaut,N593,50.0554007,4.2442086
"rue Provinciale, Celles",Radar fixe, Val de l’Escaut,N391,50.7118117,3.4600575
"rue Paul Janson, Courcelles",Radar fixe, Les Trieux,N582,50.4473908,4.3412742
"rue Monty, Gesves",Radar fixe, Les Arches,N921,50.4003627,5.1204805
"rue Hennevauche, Mettet",Radar fixe, Entre Sambre et Meuse,N98,50.3094737,4.6624216
"rue Grande, Yvoir",Radar fixe, Haute-Meuse,N947,50.3529687,4.8803437
"rue Grande, Mons",Radar fixe, Mons-Quévy,N6,50.4869633,3.9618671
"rue Grand Mont, Erezée",Radar fixe, Famenne-Ardenne,N807,50.2844998,5.5054508
"rue Gén. Jacques, Chaudfontaine",Radar fixe, SECOVA,N61,50.5828,5.6341
"rue François Dubois, La Hulpe",Radar fixe, La Mazerine,N253,50.7339362,4.4926881
"rue Emile Baudrux, Habay",Radar fixe, Arlon-Attert-Habay-Martelange,N87,49.7285405,5.6481076
"rue du Tram, Sambreville",Radar fixe, SAMSOM,N912,50.4650464,4.6116561
"rue du Sabot, Lens",Radar fixe, Sylle & Dendre,N56,50.5470421,3.9041559
"rue du Pré des Fossés, Manhay",Radar fixe, Famenne-Ardenne,N651,50.296513,5.6866229
"rue du Pétria, Fontaine-L'Evêque",Radar fixe, Les Trieux,N582,50.4115628,4.3149987
"rue du Château, Erezée",Radar fixe, Famenne-Ardenne,N807,50.2912665,5.5342591
"rue du Châlet, Aywaille",Radar fixe, SECOVA,N30,50.4682835,5.6785429
"rue du Centre, Profondeville",Radar fixe, Entre Sambre et Meuse,N951,50.3688347,4.767656
"rue des Groseilliers, Bernissart",Radar fixe, Bernissart – Péruwelz,N506,50.4746,3.64961
"rue des Combattants, Marche-en-Famenne",Radar fixe, Famenne-Ardenne,N86,50.3241246,5.529141
"rue de Velaine, Andenne",Radar fixe, Les Arches,N921,50.5155263,5.081762
"rue de Trazegnies, Chapelle-lez-Herlaimont",Radar fixe, Mariemont,N583,50.4670539,4.2902076
"rue de Tournai, Pecq",Radar fixe, Val de l’Escaut,N50,50.6754103,3.3399511
"rue de Tournai, Beloeil",Radar fixe, Beloeil / Leuze-en-Ht,N50,50.514190600,3.6748115
"rue de St-Ghislain, Chièvres",Radar fixe, Sylle & Dendre,N525,50.5774052,3.8060751
"rue de Souvret, Courcelles",Radar fixe, Les Trieux,N582,50.4553164,4.3638903
"rue de Rachecourt, Messancy",Radar fixe, Sud-Luxembourg,N870,49.6119346,5.7512225
"rue de Pâturages, Quévy",Radar fixe, Mons-Quévy,N546,50.3789899,4.023292
"rue de Namur, Genappe",Radar fixe, Nivelles-Genappe,N93,50.5810924,4.4181936
"rue de Mons, Quiévrain",Radar fixe, Hauts-Pays,N51,50.4099617,3.7009341
"rue de Mons, Braine-le-Comte",Radar fixe, Haute Senne,N6,50.6062125,4.1326454
"rue de Meuse, Hastière",Radar fixe, Haute-Meuse,N96,50.2130351,4.8457126
"rue de Lorraine, Musson",Radar fixe, Sud-Luxembourg,N88,49.5519081,5.6435645
"rue de la Sauvenière, Spa",Radar fixe, Fagnes,N62,50.4900939,5.8697113
"rue de La Roche, Hotton",Radar fixe, Famenne-Ardenne,N833,50.2593531,5.4685124
"rue de la Molignée, Anhée, lieu-dit Les Marronniers",Radar fixe, Haute-Meuse,N971,,
"rue de la Gaume, Léglise",Radar fixe, Centre Ardenne,N801,49.8064865,5.4601874
"rue de la Foroutelle, Momignies",Radar fixe, Botte du Hainaut,N591,50.0271,4.16519
"rue de la Fagne, Jalhay",Radar fixe, Fagnes,N672,50.5591554,5.9660321
"rue de la Brasserie, Honnelles",Radar fixe, Hauts-Pays,N553,50.3528458,3.6911939
"rue de Jemeppe, Nassogne",Radar fixe, Famenne-Ardenne,N896,50.1760966,5.3436908
"rue de France, Dour",Radar fixe, Hauts-Pays,N549,50.3894793,3.7775045
"rue de Frameries, Mons",Radar fixe, Mons-Quévy,N544,50.428041,3.9113285
"rue de Falisolle, Sambreville",Radar fixe, SAMSOM,N930,50.4374828,4.6304813
"rue de Ciney, Ohey",Radar fixe, Les Arches,N921,50.429939,5.1258958
"rue de Chièvres, St-Ghislain",Radar fixe, Boraine,N525,50.5274806,3.7929781
"rue de Charleroi, Fontaine-L'Evêque",Radar fixe, Les Trieux,N90,50.4117794,4.3246322
"rue de Chapelle, Courcelles",Radar fixe, Les Trieux,N583,50.4663346,4.3108642
"rue de Bullange, Amel/Amblève",Radar fixe, Eifel,N658,50.35357,6.17002
"rue de Bruxelles, Braine-le-Comte",Radar fixe, Haute Senne,N6,50.6128362,4.1365175
"rue d’Houdeng, Le Roeulx",Radar fixe, Haute Senne,N55,50.4994755,4.1220642
"route du Condroz, Neupré",Radar fixe, Seraing-Neupré,N63,50.5548114,5.52243
"route de Wasseiges, Namur",Radar fixe, Namur,N924,50.5949849,4.9592767
"route de Wallonie, Mons",Radar fixe, Mons-Quévy,N552,50.4786748,3.885494
"route de Ramillies, Eghezée",Radar fixe, Orneau-Mehaigne,N991,50.6257158,4.9054498
"route de Neufchâteau, Arlon",Radar fixe, Arlon-Attert-Habay-Martelange,N40,49.6915533,5.783414600
"route de Mons, Quaregnon",Radar fixe, Boraine,N51,50.4409098,3.8479455
"route de Marche, Durbuy",Radar fixe, Famenne-Ardenne,N86,50.3266972,5.4798997
"route de Luxembourg, Arlon",Radar fixe, Arlon-Attert-Habay-Martelange,N4,49.669263100,5.829672800
"route de Hautregard, Theux",Radar fixe, Fagnes,N697,50.4876027,5.7885063
"route de Hannut, Namur",Radar fixe, Namur,N80,50.5560752,5.0366445
"route de Gosselies, Fleurus",Radar fixe, BRUNAU,N586b,50.4733737,4.5197822
"route de Beaumont, Quévy",Radar fixe, Mons-Quévy,N40,50.3800356,4.0351834
"Route de Battice, Thimister-Clermont",Radar fixe, Pays de Herve,N648,50.6611336,5.836799
"route de Bastogne, Martelange",Radar fixe, Arlon-Attert-Habay-Martelange,N4,49.836085200,5.738278500
"route de Bastogne, Arlon",Radar fixe, Arlon-Attert-Habay-Martelange,N4,49.704292100,5.805486700
"route d’Habay, Attert",Radar fixe, Arlon-Attert-Habay-Martelange,N87,49.75035,5.78634
"route d’Arlon, Martelange",Radar fixe, Arlon-Attert-Habay-Martelange,N4,49.817867200,5.740958800
"route d’Andenne, Eghezée",Radar fixe, Orneau-Mehaigne,N643,50.5911553,4.9146356
"La Forge, Onhaye",Radar fixe, Haute-Meuse,N971,50.2642974,4.8169525
"Haie des Chênes, Sprimont",Radar fixe, SECOVA,N30,50.5383869,5.6508677
"Grand’Rue, Trooz",Radar fixe, SECOVA,N61,50.5728102,5.6883726
"Grand'Rue, St-Léger",Radar fixe, Sud-Luxembourg,N82,49.6295862,5.7096253
"Grand-rue, Tenneville",Radar fixe, Famenne-Ardenne,N843,50.1076989,5.4852246
"chaussée du Roeulx, Mons",Radar fixe, Mons-Quévy,N538,50.4591217,4.0019828
"chaussée de Wavre, Grez-Doiceau",Radar fixe, Ardennes brabançonnes,N268,50.7561369,4.699495
"chaussée de Soignies, Silly",Radar fixe, Sylle et Dendre,N55,50.6648635,4.0377892
"chaussée de Perwez, Namur",Radar fixe, Namur,N934,50.5023255,4.8518613
"chaussée de Nivelles, Pont-à-Celles",Radar fixe, BRUNAU,N586,50.5432549,4.3796685
"chaussée de Nivelles, Gembloux",Radar fixe, Orneau-Mehaigne,N93,50.5190459,4.653387
"chaussée de Namur, Incourt",Radar fixe, Ardennes brabançonnes,N91,50.7111055,4.7905275
"chaussée de Mons, Seneffe",Radar fixe, Mariemont,N27,50.5210348,4.2505497
"chaussée de Mons, Manage",Radar fixe, Mariemont,N27,50.4987774,4.2309216
"chaussée de Mons, Leuze-en-Hainaut",Radar fixe, Beloeil / Leuze-en-Ht,N50,50.576884900,3.5567802
"chaussée de Marche, Namur",Radar fixe, Namur,N4,50.4200435,4.932575200
"chaussée de Louvain, Beauvechain",Radar fixe, Ardennes brabançonnes,N25,50.7926829,4.7110754
"chaussée de la Libération, Grez-Doiceau",Radar fixe, Ardennes brabançonnes,N240,50.7434399,4.6791101
"chaussée de Huy, Chaumont-Gistoux",Radar fixe, Ardennes brabançonnes,N243,50.6780845,4.7069807
"chaussée de Gilly, Fleurus",Radar fixe, BRUNAU,N29,50.4498395,4.522134
"chaussée de Charleroi, Gembloux",Radar fixe, Orneau-Mehaigne,N29,50.5607967,4.6818605
"chaussée de Bruxelles, Sombreffe",Radar fixe, SAMSOM,N93,50.5242777,4.6192993
"chaussée de Bruxelles, Soignies",Radar fixe, Haute Senne,N6,50.5064113,4.0004452
"chaussée de Bruxelles, lieu-dit ""Bois Renard"", Ath",Radar fixe, Ath,N7,,
"chaussée de Bruxelles, Les-Bons-Villers",Radar fixe, BRUNAU,N5,50.515954,4.4580623
"chaussée de Bruxelles, Enghien",Radar fixe, Sylle & Dendre,N7,50.691543700,4.0335718
"chaussée de Bruxelles, Ath",Radar fixe, Ath,N7,50.6366033,3.8058855
"chaussée de Braine, Ecaussinnes",Radar fixe, Haute Senne,N532,50.578809,4.1474415
"chaussée de Binche, Mons",Radar fixe, Mons-Quévy,N90,50.452107100,3.9760392
"chaussée de Beaumont, Mons",Radar fixe, Mons-Quévy,N40,50.411304300,4.0081911
"chaussée d’Enghien, Soignies",Radar fixe, Haute Senne,N55,50.6846168,4.004319
"chaussée d’Eghezée, La Bruyère",Radar fixe, Orneau-Mehaigne,N912,50.5473525,4.8067475
"chaussée Charlemagne, Thimister-Clermont",Radar fixe, Pays de Herve,N3,50.647147900,5.864874000
"chaussée Brunehaut, Beloeil",Radar fixe, Beloeil / Leuze-en-Ht,N527,50.5579607,3.690165
"chaussée Brunehault, Morlanwelz",Radar fixe, Mariemont,N563,50.432593,4.1957137
"Bld Sainctelette, Mons",Radar fixe, Mons-Quévy,R50,50.45413,3.95229
"Bld Prés. J-F Kennedy, Mons",Radar fixe, Mons-Quévy,R50,50.45413,3.95229
"avenue Stassart, Les-Bons-Villers",Radar fixe, BRUNAU,N567,50.5031638,4.4657865
"avenue Reine Astrid, Spa",Radar fixe, Fagnes,N62,50.4897442,5.8445463
"avenue Paul Van Hoegaarden, Esneux",Radar fixe, SECOVA,N633,50.53596,5.56775
"avenue du Centenaire, Grez-Doiceau",Radar fixe, Ardennes brabançonnes,N25,50.7766551,4.7152321
"avenue des Combattants, Genappe",Radar fixe, Nivelles-Genappe,N237,50.6320099,4.5359676
"avenue de Mersch, Arlon",Radar fixe, Arlon-Attert-Habay-Martelange,N844,49.6901287,5.8363886
"avenue de la Gare, Habay",Radar fixe, Arlon-Attert-Habay-Martelange,N87,49.7233824,5.6400481
"avenue de la Gare, Aubange",Radar fixe, Sud-Luxembourg,N883,49.5677868,5.8035908
"avenue de la Basilique, Péruwelz",Radar fixe, Bernissart – Péruwelz,N60,50.5001001,3.6028898
"avenue de France, Marche-en-Famenne",Radar fixe, Famenne-Ardenne,N86,50.2252739,5.3380316
", Vielsalm",Radar fixe, Famenne-Ardenne,N89,50.2883685,5.9170187
", Theux",Radar fixe, Fagnes,N62,50.5258607,5.8198956
", Tenneville",Radar fixe, Famenne-Ardenne,N843,50.091248,5.5242133
", Jalhay",Radar fixe, Fagnes,N640,50.5592528,5.9647526
", Gouvy",Radar fixe, Famenne-Ardenne,N827,50.1907344,5.9549901
", Amel/Amblève",Radar fixe, Eifel,N676,50.3730297,6.0754895
"Rue des Français, Ans",feu+vitesse, Ans – St-Nicolas,N3,50.662981100,5.535788300
"route de Philippeville, Gerpinnes",feu+vitesse, Germinalt,N5,50.373862800,4.4671601
"chaussée de Tongres, Juprelle : rue du Tige",feu+vitesse, Basse Meuse,N20,,
"chaussée de Bruxelles, Genappe : dit de l’Arbre Ste-Anne",feu+vitesse, Nivelles - Genappe,N5,50.5943842,4.451527200
"Bld J-F Kennedy, Soignies : Guélenne",feu+vitesse, Haute Senne,N6,,
"Bld du Prince Régent, Leuze-en-Ht : N7-N526",feu+vitesse, Beloeil / Leuze-en-Ht,N7,50.6036748,3.6248853
", La Louvière",feu+vitesse, Polfed,N55,50.4529048,4.1500676
